ID_PESQUISA;ID_QUESTIONARIO;ID_PERGUNTA;COD_CURSO;SETOR_CURSO;RESPOSTA;SITUACAO
32872;604;1948;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Desconheço;Fim respostas
32872;604;1949;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Discordo;Fim respostas
32872;604;1950;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Discordo;Fim respostas
32872;604;1951;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Concordo;Fim respostas
32872;604;1952;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Discordo;Fim respostas
32872;605;1811;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Desconheço;Fim respostas
32872;605;1812;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Concordo;Fim respostas
32872;605;1953;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Concordo;Fim respostas
32872;605;1954;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Concordo;Fim respostas
32872;605;1955;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Desconheço;Fim respostas
32872;605;1956;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Desconheço;Fim respostas
32872;606;1820;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Desconheço;Fim respostas
32872;606;1957;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Concordo;Fim respostas
32872;606;1958;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Desconheço;Fim respostas
32872;606;1959;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Desconheço;Fim respostas
32872;606;1960;40001016040G0;SETOR DE CIÊNCIAS AGRÁRIAS;Desconheço;Fim respostas
32873;604;1942;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;604;1943;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Discordo;Fim respostas
32873;604;1944;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;604;1945;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Discordo;Fim respostas
32873;604;1946;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;604;1947;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Discordo;Fim respostas
32873;604;1948;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;604;1949;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Discordo;Fim respostas
32873;604;1950;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Discordo;Fim respostas
32873;604;1951;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Discordo;Fim respostas
32873;604;1952;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Discordo;Fim respostas
32873;605;1811;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;605;1812;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;605;1953;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;605;1954;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Discordo;Fim respostas
32873;605;1955;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;605;1956;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Desconheço;Fim respostas
32873;606;1820;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;606;1957;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;606;1958;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;606;1959;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32873;606;1960;40001016044G0;SETOR DE CIÊNCIAS EXATAS;Concordo;Fim respostas
32874;604;1942;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Desconheço;Fim respostas
32874;604;1943;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Desconheço;Fim respostas
32874;604;1944;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Desconheço;Fim respostas
32874;604;1945;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Discordo;Fim respostas
32874;604;1946;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Discordo;Fim respostas
32874;604;1947;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Concordo;Fim respostas
32874;604;1948;40001016021G0;SETOR DE CIÊNCIAS JURÍDICAS;Desconheço;Fim respostas
